timestamp,total_blinks,blink_freq_10s,gaze_x,gaze_y,gaze_displacement,pupil_size_px,pupil_trend
2026-06-04 00:11:18,0,0.0,1095,672,,15.98,Decreasing
2026-06-04 00:11:19,1,0.495,1085,643,30.68,11.19,Decreasing
2026-06-04 00:11:20,1,0.328,1099,671,31.3,14.32,Increasing
2026-06-04 00:11:21,1,0.247,1092,683,13.89,9.93,Decreasing
2026-06-04 00:11:22,2,0.393,1106,663,24.41,13.72,Stable
2026-06-04 00:11:23,2,0.329,1072,655,34.93,14.79,Stable
2026-06-04 00:11:24,2,0.282,1074,637,18.11,12.29,Stable
2026-06-04 00:11:25,2,0.247,1095,624,24.7,10.45,Stable
2026-06-04 00:11:26,2,0.22,1105,432,192.26,13.37,Increasing
2026-06-04 00:11:27,3,0.297,1028,428,77.1,,Stable
2026-06-04 00:11:28,3,0.0,988,561,138.88,16.38,Stable
2026-06-04 00:11:29,4,0.484,1005,565,17.46,15.44,Stable
2026-06-04 00:11:30,5,0.652,1114,483,136.4,15.94,Stable
2026-06-04 00:11:31,5,0.488,1111,407,76.06,14.42,Stable
2026-06-04 00:11:32,5,0.392,1017,373,99.96,12.3,Stable
2026-06-04 00:11:33,5,0.328,1031,367,15.23,13.94,Stable
2026-06-04 00:11:35,5,0.28,1062,401,46.01,21.68,Increasing
